A1,A6,B1,B9,D1,E38,year,weight,B10
1,4,8218,2,5,NA,2016,106.771943494037,NA
2,8,8207,1,9,NA,2016,311.822959595088,5
1,2,8406,1,9,NA,2016,32.2651401024743,2
2,3,8406,2,3,NA,2016,32.1692409192405,NA
1,7,8236,1,2,NA,2016,44.3734396580336,4
2,5,8207,1,8,NA,2016,352.189436344679,5
1,4,8231,1,6,NA,2016,127.562715249726,4
1,4,8207,1,7,NA,2016,255.711092776512,2
1,2,8510,1,7,NA,2016,15.3400932715348,4
2,5,8229,1,5,NA,2016,20.211326255055,1
1,9,8309,2,3,NA,2016,14.4115340510018,NA
1,4,8231,2,2,NA,2016,127.562715249726,NA
2,2,8218,2,8,NA,2016,120.794147613139,NA
2,3,8215,2,9,NA,2016,31.2227431976525,NA
2,3,8423,1,7,NA,2016,29.6894953128804,2
2,6,8406,1,5,NA,2016,31.6666495541945,1
2,11,8207,1,9,NA,2016,255.501995173598,2
1,5,8218,1,5,NA,2016,106.771943494037,1
2,3,8313,1,3,NA,2016,8.63859073896496,1
1,10,8218,2,5,NA,2016,96.7967100187466,NA
1,8,8229,1,8,NA,2016,20.1563003484699,3
1,5,8510,2,8,NA,2016,14.643253502575,NA
2,3,8207,1,8,NA,2016,352.189436344679,1
1,1,8439,1,8,NA,2016,24.7851956509531,4
1,6,8345,2,7,NA,2016,14.4115340510018,NA
1,5,8510,1,8,NA,2016,12.2027112521508,2
2,8,8212,1,7,NA,2016,103.185087932649,3
2,6,8216,2,8,NA,2016,26.4774227347595,NA
1,4,8439,1,8,NA,2016,21.9237870339284,2
1,7,8423,1,7,NA,2016,18.8616349612914,2
2,3,8310,1,6,NA,2016,8.63859073896496,1
1,6,8264,1,8,NA,2016,255.711092776512,2
1,10,8231,1,2,NA,2016,157.275872994598,2
2,4,8345,2,7,NA,2016,8.63859073896496,NA
1,10,8510,2,9,NA,2016,12.2441590226343,NA
1,7,8510,2,5,NA,2016,14.643253502575,NA
2,4,8510,1,6,NA,2016,13.1335672450724,1
1,4,8236,2,2,NA,2016,44.3734396580336,NA
1,5,8218,1,2,NA,2016,115.364006574644,4
1,4,8236,2,2,NA,2016,58.710173106203,NA
1,5,8336,1,1,NA,2016,10.1887831539162,3
1,10,8218,1,2,NA,2016,96.7967100187466,1
1,9,8212,2,8,NA,2016,93.8323670369613,NA
2,11,8212,1,5,NA,2016,103.594552567325,1
1,3,8510,1,9,NA,2016,12.2027112521508,4
2,3,8354,1,4,NA,2016,8.63859073896496,1
1,5,8207,2,4,NA,2016,255.711092776512,NA
1,8,8231,1,1,NA,2016,157.275872994598,4
1,6,8207,1,6,NA,2016,255.711092776512,5
2,8,8207,2,8,NA,2016,311.822959595088,NA
1,7,8212,2,8,NA,2016,110.039775888745,NA
2,1,8201,1,2,NA,2016,120.794147613139,2
2,9,8231,2,1,NA,2016,188.480579102546,NA
1,1,8231,1,2,NA,2016,115.283157850041,5
2,2,8510,1,8,NA,2016,14.4414125595827,2
2,4,8439,1,9,NA,2016,22.8305835092597,2
1,2,8212,1,7,NA,2016,92.2463794214078,3
1,5,8229,1,6,NA,2016,22.1597661958095,3
2,9,8231,1,2,NA,2016,182.248517720399,3
1,5,8439,2,9,NA,2016,21.5734489737051,NA
1,5,8215,2,7,NA,2016,38.7921736556311,NA
1,9,8312,2,3,NA,2016,10.1887831539162,NA
1,8,8345,1,8,NA,2016,10.1887831539162,1
2,9,8439,1,7,NA,2016,28.3557932169374,2
1,9,8510,1,8,NA,2016,12.2027112521508,3
1,2,8406,2,5,NA,2016,32.3395327179569,NA
1,5,8215,2,6,NA,2016,38.7921736556311,NA
2,2,8406,2,3,NA,2016,32.1692409192405,NA
2,6,8207,1,8,NA,2016,352.189436344679,5
2,4,8229,2,8,NA,2016,20.211326255055,NA
2,2,8510,1,8,NA,2016,14.4414125595827,3
2,7,8236,1,8,NA,2016,45.5669371189829,2
1,9,8265,2,7,NA,2016,215.011695791149,NA
2,7,8207,1,4,NA,2016,255.501995173598,3
1,10,8510,1,8,NA,2016,15.8836943984518,2
1,7,8229,2,8,NA,2016,20.774459285079,NA
