"W22A1";"W22B1";"W22A6";"W22B9";"W22D1";"W22E38";"weight_2022"
2;8212;7;1;6;2;137.753116741036
1;8415;8;1;8;1;212.076221176426
1;8236;10;1;8;1;191.499114211605
2;8236;10;2;6;-7;196.057453722189
1;8236;9;1;2;1;200.303671186851
1;8229;12;1;8;-7;235.112433397301
2;8229;8;1;4;1;165.003468934323
2;8229;13;1;8;1;165.003468934323
1;8401;10;1;8;1;310.768278047512
2;8510;9;2;9;1;250.343850291035
1;8218;9;1;5;2;153.785782990628
1;8215;13;1;6;1;180.314053006699
1;8218;9;1;7;1;181.397959486206
2;8425;13;1;8;2;266.233574062433
1;8236;7;1;3;2;188.197405345888
2;8229;13;1;4;-7;211.368080039836
2;8401;13;1;8;1;227.614342884297
1;8207;16;1;6;1;182.632773051934
2;8236;15;1;7;3;202.157018949102
1;8212;8;2;5;2;226.821956950548
1;8207;11;2;8;1;151.68771899012
1;8215;11;1;7;1;156.272179272472
1;8336;8;1;8;1;405.665114168846
1;8510;9;1;9;1;194.418363302137
1;8215;11;1;7;1;156.272179272472
1;8229;13;1;8;1;222.905868568143
2;8218;10;1;2;1;177.831276974623
2;8212;10;2;9;1;202.313012604297
2;8215;12;1;8;-7;139.828711449526
1;8215;8;1;7;1;178.920321196019
2;8406;14;1;3;-7;260.130677582054
1;8207;14;1;8;1;185.594385587911
1;8438;10;1;8;1;395.978934931508
1;8354;15;2;6;3;348.284851309436
2;8406;9;2;9;3;247.124143702951
2;8212;13;1;7;2;137.753116741036
2;8423;11;1;8;1;205.91870260894
1;8236;8;1;8;2;188.197405345888
2;8212;8;1;8;1;159.649741344398
1;8423;13;1;8;2;228.644675955835
1;8407;14;1;3;3;310.768278047512
2;8218;14;1;8;2;177.831276974623
2;8401;17;1;2;-7;230.570373311366
2;8406;13;1;8;3;234.117609823848
2;8601;14;1;7;-7;121.46411109786
2;8207;15;1;8;1;171.814722754944
1;8229;9;1;4;1;235.112433397301
1;8439;16;1;7;1;212.076221176426
1;8212;9;2;8;1;222.995675625471
1;8207;13;1;8;2;151.68771899012
1;8236;8;1;9;1;200.303671186851
1;8207;13;1;9;2;203.777619311051
2;8510;10;1;8;1;310.744271313633
1;8432;9;1;7;3;192.599683833511
1;8998;11;1;8;1;178.920321196019
2;8207;15;2;8;2;186.132616317856
2;8250;13;1;3;-7;121.46411109786
1;8215;16;1;9;1;156.272179272472
2;8438;2;2;8;-7;332.200573085271
2;8336;9;1;7;-7;459.366115752076
1;8236;8;1;3;2;192.599683833511
1;8510;15;2;7;2;218.712007132344
2;8214;12;2;9;1;144.822594001294
1;8229;11;1;8;1;255.129220656235
2;8212;10;2;3;2;168.772583706935
1;8423;15;2;8;2;298.373194155132
1;8212;17;2;9;1;222.995675625471
1;8207;14;1;5;-7;172.5801451351
2;8330;14;1;4;1;339.767837094731
2;8510;13;1;8;3;274.668040000163
1;8236;10;2;6;1;200.303671186851
2;8423;10;2;7;-7;205.91870260894
1;8212;8;2;8;1;177.32900801068
1;8236;11;2;6;2;170.932219402241
2;8336;10;1;7;-7;447.21941557594
1;8439;12;1;8;1;264.93748166311
1;8212;12;2;9;1;203.542861368781
1;8212;13;1;8;1;177.32900801068
1;8439;14;2;7;1;212.076221176426
1;8229;12;1;9;-7;235.112433397301
1;8510;12;1;8;2;316.629707860482
1;8218;10;1;9;1;162.886313888015
1;8248;1;2;4;-7;222.905868568143
2;8212;11;2;8;2;185.675847098231
1;8401;9;2;8;1;192.599683833511
2;8229;13;1;6;1;211.368080039836
2;8207;9;1;8;1;126.559952029311
1;8439;10;1;9;1;212.076221176426
1;8207;15;1;6;-7;203.777619311051
2;8229;8;2;5;2;162.753421630674
2;8509;14;1;9;-7;140.799744167925
2;8207;10;1;8;1;171.814722754944
2;8215;9;1;8;-7;140.799744167925
1;8510;15;1;8;1;238.437615370546
1;8212;9;1;9;1;203.542861368781
2;8423;11;2;8;1;201.022012559416
2;8215;12;1;7;1;135.167754401208
1;8218;15;2;7;1;186.394448566359
2;8236;8;1;5;1;266.233574062433
1;8207;17;1;7;1;264.93748166311
1;8212;8;1;6;-7;177.32900801068
1;8423;15;2;7;1;264.510507478319
2;8406;9;2;4;2;256.066135744834
1;8218;10;2;3;2;162.76698325513
1;8212;11;1;8;1;222.995675625471
2;8215;13;1;8;-7;140.799744167925
1;8510;16;1;7;1;316.629707860482
1;8212;11;1;8;1;168.217240800645
2;8406;17;1;4;-7;230.570373311366
1;8410;13;1;5;1;395.978934931508
2;8439;7;2;7;1;205.91870260894
2;8406;13;1;2;-7;234.117609823848
1;8231;10;1;8;2;185.594385587911
2;8229;12;1;8;1;203.441777038342
1;8218;9;1;9;1;180.427916922109
2;8236;11;2;5;-7;202.157018949102
1;8218;13;1;4;1;181.397959486206
1;8215;12;2;3;1;132.594576352401
1;8510;11;1;8;1;194.418363302137
2;8423;7;1;7;1;252.882617239049
2;8212;11;2;8;1;185.675847098231
2;8212;10;1;7;1;185.675847098231
2;8229;10;1;4;1;191.254020810238
2;8215;15;1;8;3;135.167754401208
2;8218;9;2;8;1;184.70398333113
2;8236;11;1;9;3;266.233574062433
2;8207;12;1;9;1;186.132616317856
2;8207;13;1;9;2;126.559952029311
1;8432;10;1;6;1;332.200573085271
1;8236;11;1;2;1;192.599683833511
1;8218;9;2;8;1;179.192098899102
1;8207;11;1;8;1;151.68771899012
2;8215;16;1;3;-7;135.167754401208
1;8212;9;1;8;2;177.32900801068
2;8236;14;1;8;1;224.618909943446
2;8218;10;2;7;1;151.867719627818
2;8218;7;1;7;4;184.70398333113
2;8229;10;2;7;1;241.805083565572
2;8207;15;1;8;-7;171.814722754944
1;8215;12;1;8;1;178.920321196019
1;8215;12;1;9;1;132.594576352401
1;8229;13;1;8;3;235.112433397301
2;8212;8;2;8;1;185.675847098231
1;8229;10;2;6;1;222.905868568143
2;8207;16;1;6;2;175.990775044127
1;8207;16;2;7;3;203.777619311051
1;8207;15;2;7;1;203.777619311051
1;8207;12;1;9;2;182.632773051934
2;8231;7;2;6;1;435.21830119175
2;8510;12;1;2;-7;214.709320249608
1;8510;8;1;7;1;250.986963547943
1;8231;14;1;8;1;322.433830574186
2;8215;7;1;8;-7;140.799744167925
2;8424;9;2;6;1;306.954199546824
1;8218;9;1;8;1;153.785782990628
2;8212;12;1;4;1;187.951286400905
2;8218;11;1;8;1;184.70398333113
1;8510;7;2;7;1;218.712007132344
2;8229;13;1;8;1;241.805083565572
2;8215;15;1;9;3;121.46411109786
1;8406;16;2;8;2;332.200573085271
2;8354;11;2;5;-7;339.767837094731
2;8407;14;1;8;1;203.580530281607
2;8424;7;1;8;3;256.066135744834
2;8236;8;2;2;-7;202.157018949102
1;8423;11;1;8;1;264.93748166311
1;8218;13;2;9;2;195.320379906156
2;8229;14;1;8;3;162.753421630674
1;8215;15;2;7;1;178.920321196019
1;8229;9;1;8;2;235.112433397301
2;8229;14;1;9;1;241.805083565572
1;8439;13;2;8;1;298.373194155132
1;8523;8;1;8;-7;203.542861368781
1;8229;15;1;6;-7;235.112433397301
2;8439;12;1;7;1;180.284500232177
2;8231;10;2;2;-7;435.21830119175
1;8432;12;1;6;1;226.304628504376
1;8510;17;1;8;1;238.437615370546
2;8309;14;1;6;-7;339.767837094731
2;8236;14;2;5;2;242.451830158551
2;8229;8;1;4;1;211.368080039836
1;8236;7;1;8;1;170.932219402241
2;8439;14;1;5;-7;207.649111874561
1;8207;10;1;8;1;151.68771899012
2;8439;12;2;8;2;180.284500232177
1;8218;13;1;5;4;180.427916922109
1;8229;13;2;7;1;235.112433397301
2;8229;12;1;9;1;165.003468934323
2;8406;11;2;7;1;441.391610428513
2;8212;16;2;8;1;168.772583706935
2;8439;11;1;8;2;186.603593779167
2;8215;11;1;7;1;133.080221514703
1;8231;12;2;4;2;422.815391273151
1;8207;8;1;6;1;151.68771899012
2;8218;7;1;7;4;177.831276974623
1;8212;14;1;5;3;177.32900801068
1;8218;11;1;7;1;181.397959486206
2;8212;16;2;8;-7;185.675847098231
1;8218;15;1;8;1;175.416030340939
2;8423;16;1;7;-7;205.91870260894
2;8229;9;1;9;2;162.753421630674
1;8423;14;2;9;1;264.93748166311
1;8229;14;2;6;1;245.561874881626
1;8236;9;2;5;-7;192.599683833511
1;8229;9;1;8;1;222.905868568143
1;8212;12;1;8;1;203.542861368781
1;8231;10;1;8;1;422.815391273151
2;8229;16;1;9;-7;162.753421630674
2;8407;16;1;9;1;234.117609823848
2;8349;11;1;6;1;121.46411109786
1;8207;17;2;8;2;179.607469923785
1;8439;13;1;8;-7;212.076221176426
1;8218;13;2;8;2;181.397959486206
1;8231;11;1;7;3;322.433830574186
1;8229;15;1;8;2;222.905868568143
1;8510;15;1;8;2;194.418363302137
2;8406;16;2;1;2;230.570373311366
1;8212;16;1;8;1;177.32900801068
2;8207;8;1;8;3;172.465536098713
1;8212;9;2;8;1;226.158734854201
1;8215;8;1;7;2;166.690324557304
1;8406;14;1;9;1;332.200573085271
2;8427;15;2;8;-7;144.822594001294
2;8510;11;2;8;-7;250.343850291035
2;8231;9;2;5;-7;441.391610428513
1;8218;8;2;8;1;162.886313888015
1;8212;16;1;9;1;203.542861368781
2;8407;10;1;7;1;256.066135744834
2;8236;6;2;6;2;202.157018949102
2;8229;12;1;5;3;191.254020810238
1;8523;14;1;7;1;130.226816060394
1;8439;15;2;9;1;264.93748166311
1;8218;16;1;8;1;162.76698325513
1;8236;7;1;8;2;213.063400240822
1;8345;8;1;7;4;348.284851309436
2;8439;3;1;8;-7;252.882617239049
1;8207;9;1;8;1;182.632773051934
2;8215;13;1;7;3;135.167754401208
1;8229;10;1;8;2;232.744084709233
2;8212;15;1;9;-7;187.951286400905
1;8401;16;2;8;2;186.394448566359
1;8218;11;1;5;-7;162.76698325513
2;8212;15;1;8;1;159.649741344398
1;8229;12;1;4;1;235.112433397301
2;8509;15;2;8;1;133.080221514703
1;8215;15;2;9;3;141.864106006216
2;8218;11;1;5;-7;184.70398333113
1;8229;17;2;9;1;255.129220656235
2;8424;12;1;7;1;256.066135744834
1;8229;13;1;8;2;222.905868568143
1;8406;11;1;8;1;287.748405599548
2;8215;13;1;8;1;133.080221514703
2;8212;16;2;8;1;159.649741344398
2;8207;16;1;5;-7;126.559952029311
1;8215;11;1;9;1;141.864106006216
2;8231;8;1;3;3;447.123969005506
1;8212;10;1;8;2;177.32900801068
2;8439;15;1;7;1;201.022012559416
2;8207;15;1;9;1;178.9736695364
2;8207;15;1;8;1;186.132616317856
1;8207;14;2;7;-7;151.68771899012
2;8407;14;2;6;1;186.615486091473
1;8439;11;1;7;1;228.644675955835
2;8406;13;2;5;3;186.615486091473
1;8229;16;1;8;1;222.905868568143
1;8215;15;1;8;1;166.690324557304
2;8215;10;2;7;1;139.828711449526
1;8229;10;2;7;1;235.112433397301
2;8439;16;1;8;-7;186.603593779167
2;8510;8;1;9;1;310.744271313633
1;8510;10;1;8;1;399.107885420237
1;8236;12;1;9;2;170.932219402241
2;8236;11;1;8;1;242.451830158551
2;8212;9;1;7;1;187.951286400905
1;8423;11;1;8;-7;141.864106006216
2;8207;16;2;8;1;178.9736695364
1;8439;9;1;8;2;264.93748166311
2;8509;7;1;9;1;133.080221514703
2;8439;10;1;8;1;207.649111874561
1;8427;12;1;8;1;188.197405345888
2;8432;10;1;3;4;234.117609823848
2;8212;14;2;8;1;185.675847098231
1;8207;10;1;9;2;151.68771899012
