"W16A1";"W16A6";"W16B1";"W16B9";"W16D1";"weight_2016"
1;9;8265;2;7;215.011695791149
2;7;8207;1;4;255.501995173598
1;10;8510;1;8;15.8836943984518
1;7;8229;2;8;20.774459285079
2;1;8508;1;8;47.4411764705882
1;2;8510;1;7;15.3400932715348
1;6;8215;1;7;38.7921736556311
2;3;8215;1;8;47.4411764705882
1;7;8231;1;2;157.275872994598
2;2;8313;1;3;8.63859073896496
1;1;8218;1;8;128.18586113674
1;3;8423;1;7;26.2618936542216
1;2;8423;1;7;45.9151882793089
1;7;8510;2;8;14.643253502575
1;3;8236;1;7;58.710173106203
1;8;8231;1;3;157.275872994598
2;8;8406;1;5;31.6666495541945
2;9;8510;1;7;15.706634523592
2;4;8231;1;7;122.292834758137
2;4;8439;2;8;25.7427298201403
2;10;8510;1;8;13.1335672450724
2;11;8218;2;4;99.9422914896897
2;9;8218;1;8;99.9422914896897
1;5;8212;2;9;90.7128740959531
2;10;8212;2;9;103.594552567325
2;2;8218;2;5;108.078974180107
1;2;8510;1;8;15.2881654368882
1;6;8236;1;5;49.6335130520869
1;6;8218;1;6;106.771943494037
1;9;8207;2;8;215.011695791149
2;7;8231;1;2;182.248517720399
2;2;8236;2;8;53.5132453047881
2;7;8231;2;2;122.292834758137
2;8;8406;1;3;31.6666495541945
1;10;8231;2;3;157.275872994598
2;1;8439;1;7;27.5022780447013
2;5;8345;1;1;8.63859073896496
1;1;8510;1;8;45.9151882793089
2;5;8336;1;5;8.63859073896496
1;11;8439;2;8;21.5734489737051
2;8;8424;1;5;38.2234430314533
2;6;8401;1;8;38.2234430314533
1;5;8236;1;8;58.710173106203
2;7;8510;1;7;15.706634523592
1;1;8510;1;9;15.3400932715348
2;7;8439;1;8;22.8305835092597
1;4;8236;1;2;58.710173106203
1;11;8236;2;9;49.6335130520869
1;4;8231;1;2;127.562715249726
2;3;8254;1;5;117.636295722456
2;9;8231;1;6;182.248517720399
2;2;8231;1;3;143.445621063506
1;6;8229;1;9;20.1563003484699
2;5;8231;1;2;118.712385680636
1;2;8231;1;2;175.672714412934
1;3;8255;1;1;115.364006574644
1;4;8215;1;7;38.7921736556311
2;7;8218;2;8;26.4774227347595
1;3;8218;1;5;106.771943494037
1;3;8207;2;6;22.1597661958095
1;9;8231;1;3;157.275872994598
1;3;8212;1;4;90.7128740959531
1;4;8439;1;8;21.9237870339284
2;2;8229;2;7;28.7252461963411
2;5;8406;2;2;32.1692409192405
2;5;8231;1;3;118.712385680636
2;3;8439;1;7;22.8305835092597
2;2;8410;1;7;48.2582040754805
1;8;8218;2;9;110.015037418155
1;9;8406;2;1;33.620848202021
2;6;8545;1;8;114.302214820726
2;9;8406;2;2;31.6666495541945
2;5;8215;1;8;31.2227431976525
1;7;8215;1;8;32.4527266661945
1;6;8240;2;8;255.711092776512
2;5;8438;1;8;22.8305835092597
1;3;8231;1;3;175.672714412934
2;7;8231;2;8;182.248517720399
1;6;8207;2;6;255.711092776512
1;4;8231;1;3;127.562715249726
2;3;8236;2;7;50.0081358505039
2;2;8601;2;9;31.2227431976525
2;8;8261;1;5;22.8305835092597
1;7;8231;2;3;127.562715249726
1;4;8218;1;2;115.364006574644
1;1;8510;1;7;15.3400932715348
1;3;8212;2;4;92.2463794214078
2;9;8207;1;8;311.822959595088
1;1;8229;2;8;22.1597661958095
2;5;8231;1;2;118.712385680636
1;5;8310;1;4;10.1887831539162
2;4;8231;1;4;118.712385680636
2;6;8406;1;7;31.6666495541945
2;7;8424;1;8;22.8305835092597
2;3;8510;1;7;13.1335672450724
2;3;8510;1;7;13.1335672450724
1;3;8345;1;2;10.1887831539162
2;10;8207;1;6;311.822959595088
2;10;8432;2;8;31.6666495541945
2;8;8406;2;2;31.6666495541945
1;8;8236;2;8;49.6335130520869
2;3;8510;1;7;14.4414125595827
1;8;8207;2;3;215.011695791149
2;10;8218;1;9;99.9422914896897
2;4;8212;1;9;114.302214820726
1;1;8510;1;7;15.3400932715348
1;10;8212;2;9;110.039775888745
2;3;8438;2;7;32.1692409192405
2;5;8406;1;2;31.6666495541945
2;7;8406;1;4;38.2234430314533
