"W20A1";"W20B1";"W20A6";"W20B9";"W20D1";"W20E38";"weight_2020"
1;8218;10;1;2;1;168.800688839332
2;8510;11;1;8;1;163.581811203163
2;8510;13;1;4;1;174.161599375836
1;8207;13;1;9;1;293.681522848165
1;8212;7;1;8;1;132.07524408918
2;8406;11;1;7;4;87.7177962731095
2;8232;6;2;8;1;34.4072245199095
2;8207;7;1;9;1;244.577005003127
2;8212;11;1;8;2;145.782782118755
1;8229;5;2;6;1;52.1893376224916
2;8207;12;1;8;-7;283.254298817575
2;8212;7;1;6;1;145.782782118755
2;8432;7;1;8;3;86.4320455948471
1;8313;10;2;8;-7;176.094238228353
1;8212;10;2;8;1;124.862873538856
2;8423;7;1;8;1;44.5435659070281
2;8212;11;2;6;1;145.782782118755
2;8215;9;1;7;1;40.9749136954578
1;8539;13;2;8;1;72.2777710820909
2;8218;12;1;7;1;166.309440828089
1;8510;14;2;7;1;131.408740123856
1;8207;11;2;9;-7;353.50553676168
1;8212;11;2;8;-7;154.618207437735
1;8207;14;1;9;2;234.716226837715
2;8218;10;1;8;1;152.450320759081
1;8215;7;1;6;1;37.9601032602894
1;8523;9;1;8;-7;63.417653301129
1;8439;14;1;8;1;72.2308374645052
2;8510;10;1;8;-7;178.953495352227
2;8236;11;2;8;-7;65.7778398191328
1;8218;6;1;8;2;147.570009805384
1;8510;13;1;8;1;139.907708464667
2;8510;6;1;8;-7;199.80244626705
1;8207;12;2;9;2;271.927335970524
1;8231;10;1;2;1;188.502670025822
2;8218;11;1;5;3;166.309440828089
1;8423;8;1;4;-7;63.417653301129
2;8309;5;2;7;-7;128.977972411611
2;8207;11;1;7;1;340.95424857671
1;8212;6;2;8;1;154.618207437735
2;8510;10;1;8;1;178.953495352227
1;8218;9;2;5;2;163.597323822864
1;8215;12;1;8;1;38.8711946561952
2;8231;12;1;3;1;210.379244674443
2;8207;14;1;9;1;253.53008227499
2;8218;7;2;8;1;152.450320759081
1;8212;7;1;8;1;146.349854098819
1;8510;6;1;8;1;143.757140185899
1;8218;9;2;5;1;175.817439249281
1;8424;9;1;7;-7;75.4412225217843
2;8236;6;1;9;1;64.3893272791225
2;8231;12;2;7;1;210.379244674443
1;8218;6;2;9;1;173.765414981666
2;8207;10;2;8;1;244.577005003127
2;8218;7;1;4;1;152.450320759081
1;8407;9;1;2;1;141.816162041416
2;8229;13;2;6;1;27.0342478370718
2;8336;9;1;3;4;186.54441207555
1;8207;13;2;7;1;262.863091438173
1;8215;14;1;7;1;38.8711946561952
1;8229;6;2;8;1;29.2096879844082
1;8229;12;2;9;1;32.8950976529644
2;8439;14;1;8;1;46.0315629416536
1;8215;13;1;8;1;37.9601032602894
1;8218;12;2;6;1;163.597323822864
2;8215;7;1;2;-7;40.9749136954578
1;8229;10;1;5;1;35.6118802716244
1;8212;6;1;8;3;154.873774722756
1;8212;7;1;8;3;195.921812501522
2;8207;13;1;6;1;253.53008227499
2;8439;8;2;8;1;40.3888174170082
1;8236;14;2;7;1;75.297296501075
2;8207;9;1;6;-7;292.246498780038
1;8229;13;2;4;1;35.6118802716244
2;8212;4;1;7;1;145.782782118755
1;8415;6;1;8;1;72.2777710820909
1;8236;7;1;8;1;75.297296501075
2;8236;8;1;4;4;61.7449490056975
2;8236;8;2;6;-7;72.4341768467132
1;8236;7;1;3;1;71.5582184213983
1;8229;10;1;8;1;25.8461481559006
2;8229;6;1;4;2;31.5984714978761
2;8229;11;1;8;1;31.5984714978761
1;8401;8;1;8;1;144.069094381539
2;8510;7;2;9;1;174.161599375836
2;8207;9;1;8;2;27.0342478370718
1;8218;7;1;5;1;163.597323822864
1;8215;11;1;6;1;37.9601032602894
1;8218;7;1;7;1;147.570009805384
2;8425;11;1;8;1;69.6021328318731
1;8215;8;1;8;1;32.3082438776559
1;8236;5;1;2;2;75.4412225217843
2;8264;6;1;8;2;48.1824923372908
2;8229;11;1;6;-7;37.24889261642
2;8401;10;1;8;1;86.4320455948471
1;8207;14;1;6;1;262.863091438173
2;8236;13;1;8;3;72.5726301952574
1;8229;11;2;9;2;30.2097835588449
1;8212;6;2;5;1;132.07524408918
2;8439;4;1;8;4;44.5435659070281
1;8207;9;2;8;1;234.716226837715
2;8510;8;1;8;-7;163.581811203163
1;8215;9;1;7;-7;32.3082438776559
1;8336;6;1;7;-7;173.207447437724
1;8510;7;1;9;1;139.907708464667
1;8215;9;1;7;1;32.3082438776559
1;8229;12;1;8;1;32.8950976529644
2;8218;8;1;4;1;166.309440828089
2;8212;8;2;9;1;184.421326046651
2;8215;10;1;8;-7;42.4848469046785
1;8310;9;1;7;-7;202.508373962606
1;8215;11;1;7;1;37.8188826380413
1;8215;6;1;7;1;37.4896924979043
2;8406;12;1;3;-7;105.297122213266
1;8207;12;1;8;1;271.927335970524
1;8354;9;1;4;1;163.464528519352
1;8438;8;1;8;-7;144.069094381539
1;8354;13;2;6;4;202.508373962606
1;8215;8;1;8;1;37.9601032602894
2;8406;7;2;9;2;106.969902582875
2;8212;10;1;6;1;145.782782118755
2;8423;10;1;8;1;48.1824923372908
1;8236;6;1;8;1;75.4412225217843
2;8212;6;1;8;1;117.533501849633
1;8423;11;1;8;2;63.417653301129
1;8407;12;1;3;-7;116.408318917054
2;8218;12;1;8;2;176.646098637604
2;8229;14;1;5;2;30.5524033775126
2;8401;15;1;2;-7;94.960550093825
2;8229;6;2;8;3;27.0342478370718
2;8406;10;1;8;2;87.7177962731095
1;8218;9;2;9;1;175.817439249281
2;8406;8;1;8;1;86.4320455948471
2;8601;12;1;7;1;35.3117728189623
2;8207;13;1;8;1;262.272498905162
1;8229;7;1;4;1;35.6118802716244
1;8439;14;1;7;1;72.2777710820909
1;8212;7;2;8;1;146.349854098819
1;8207;11;1;8;3;234.716226837715
1;8236;6;1;9;2;64.185553493133
1;8207;11;1;9;2;253.580431374922
2;8510;8;1;8;-7;178.953495352227
2;8405;5;1;7;-7;86.4320455948471
1;8432;7;1;7;4;68.377853158225
1;8206;9;1;8;1;37.4896924979043
1;8212;7;1;8;1;154.618207437735
2;8207;13;2;8;1;253.53008227499
2;8250;11;1;3;-7;35.3117728189623
1;8215;14;1;9;1;32.3082438776559
2;8438;1;2;8;-7;116.408318917054
2;8336;7;1;7;-7;182.144779715277
1;8236;6;1;4;-7;75.4412225217843
1;8510;13;2;7;2;131.408740123856
2;8510;6;1;8;1;194.590208538344
2;8214;10;2;9;1;41.489056093164
1;8229;9;1;8;2;29.2096879844082
2;8212;8;2;8;3;137.759210243262
1;8218;7;1;8;1;184.32259126134
1;8423;13;2;8;2;76.6746688229181
1;8229;8;1;8;1;29.2096879844082
1;8212;15;2;9;1;146.349854098819
1;8207;12;1;5;1;303.004745795727
2;8330;12;1;5;2;186.54441207555
2;8510;11;1;8;3;138.155698833161
1;8236;8;2;4;3;71.5582184213983
2;8423;8;2;7;-7;50.4576747629665
1;8510;5;1;8;1;131.408740123856
1;8212;6;2;8;2;154.873774722756
1;8207;6;2;8;1;271.927335970524
1;8236;9;2;6;2;67.0323140084209
2;8336;8;1;7;-7;173.165202193082
1;8207;12;1;4;1;234.716226837715
1;8439;10;1;8;1;75.6551142035631
1;8212;10;2;9;2;154.618207437735
2;8229;12;2;8;2;31.5984714978761
2;8231;8;1;4;2;184.537487206698
1;8212;11;1;8;1;142.123806836706
1;8207;10;1;8;1;303.004745795727
1;8439;13;1;8;1;72.2308374645052
2;8406;9;1;5;-7;92.7072489051578
1;8439;12;2;7;1;63.417653301129
1;8229;10;1;9;-7;25.8461481559006
1;8510;10;1;8;2;110.983404518299
1;8207;12;2;4;2;348.06699004227
2;8229;6;1;9;1;54.5883850556257
1;8218;8;1;9;1;147.570009805384
1;8207;9;2;5;3;383.062855888911
1;8212;11;1;8;2;124.862873538856
1;8248;6;2;4;3;32.8950976529644
2;8212;9;2;8;1;184.421326046651
1;8401;7;2;8;1;68.377853158225
2;8229;11;1;6;1;37.24889261642
2;8207;7;1;8;1;283.254298817575
1;8439;8;1;9;1;63.417653301129
2;8236;5;1;8;1;64.3893272791225
1;8207;13;1;4;-7;303.004745795727
2;8229;6;2;5;1;34.4072245199095
1;8424;11;1;7;3;127.894670591019
2;8509;12;1;9;-7;35.3117728189623
2;8214;7;1;7;-7;41.489056093164
2;8207;8;1;8;1;262.272498905162
2;8215;7;1;8;-7;35.3117728189623
1;8510;13;1;8;2;110.983404518299
1;8212;7;1;9;1;154.618207437735
2;8423;9;2;8;2;44.5435659070281
2;8215;10;1;7;1;41.489056093164
1;8218;13;2;7;1;163.597323822864
1;8407;11;2;4;1;118.139992325602
2;8236;6;1;5;-7;69.6021328318731
1;8207;9;1;9;-7;303.004745795727
2;8218;12;2;2;2;166.309440828089
1;8424;6;1;8;1;125.087313276017
2;8207;8;1;9;1;262.272498905162
1;8439;15;1;7;1;72.2308374645052
1;8212;7;1;6;-7;154.873774722756
1;8423;13;2;7;1;72.2777710820909
2;8406;7;2;5;3;87.7177962731095
2;8236;6;1;8;2;64.3893272791225
1;8218;8;2;5;1;173.765414981666
1;8212;9;1;8;1;124.862873538856
2;8215;11;1;8;2;35.3117728189623
2;8424;8;2;8;1;44.5435659070281
1;8510;14;1;7;1;131.408740123856
1;8212;9;1;8;1;124.862873538856
1;8510;8;2;9;1;139.907708464667
2;8406;15;1;4;-7;94.960550093825
1;8410;11;1;2;2;144.069094381539
2;8439;5;2;7;1;50.4576747629665
2;8406;11;1;2;-7;105.297122213266
